A,B,C,D,E
42.59,9.24,20.21,8.04,111.32
42.29,9.32,20.23,8.26,109.35
42.95,9.36,20.01,7.89,108.95
42,9.21,20.01,7.74,108.95
42.51,9.28,19.9,7.92,112.11
42.29,9.24,19.9,7.89,110.93
42.29,9.13,19.94,7.74,111.32
42.22,9.05,19.94,7.96,108.95
41.49,9.05,19.47,7.77,107.37
41.49,9.13,19.4,7.59,102.24
#N/A,#N/A,#N/A,#N/A,#N/A
40.18,8.97,19.06,7.63,101.06
40.61,8.94,18.64,7.7,101.85
40.54,8.74,18.66,7.92,99.87
40.61,8.74,18.66,8.44,103.43
40.98,8.74,18.82,8.85,106.58
41.05,8.67,18.37,8.7,106.58
40.69,8.55,18.26,8.67,105.01
40.03,8.55,18.1,8.67,109.74
39.3,8.48,18.19,8.74,107.77
38.79,8.55,18.19,8.59,108.95
38.71,8.63,18.08,8.26,105.01
37.18,8.4,17.63,7.7,99.48
36.81,8.32,17.63,7.89,93.95
37.03,8.44,18.62,8.33,100.27
37.62,8.32,19,8.26,100.27
37.47,8.09,19.45,8.74,100.66
38.57,8.13,18.91,8.93,99.08
37.98,8.09,18.64,8.78,100.66
38.13,8.09,18.62,8.74,101.45
38.28,8.17,18.59,8.82,102.24
37.76,8.13,18.59,8.89,102.24
37.47,8.32,19.2,8.85,105.79
37.33,8.17,19.15,8.97,105.79
35.87,8.05,19.13,8.56,102.24
35.35,8.09,19.38,8.7,105.79
34.26,8.13,19.69,8.56,106.19
34.55,8.09,19.67,8.37,109.35
35.21,7.98,18.91,8.44,112.11
34.92,7.9,19.04,8.37,109.74
33.82,7.75,19,8.18,110.93
33.75,7.75,19.06,8.52,110.14
35.9,8.28,19.31,8.82,112.9
36.52,8.51,19.49,8.97,114.08
37.25,8.59,19.42,8.82,110.53
